word,definition
hepatitis B,an acute (sometimes fatal) form of viral hepatitis caused by a DNA virus that tends to persist in the blood serum and is transmitted by sexual contact or by transfusion or by ingestion of contaminated blood or other bodily fluids
serum hepatitis,an acute (sometimes fatal) form of viral hepatitis caused by a DNA virus that tends to persist in the blood serum and is transmitted by sexual contact or by transfusion or by ingestion of contaminated blood or other bodily fluids
hepatitis delta,a severe form of hepatitis
delta hepatitis,a severe form of hepatitis
hepatitis C,a viral hepatitis clinically indistinguishable from hepatitis B but caused by a single-stranded RNA virus; usually transmitted by parenteral means (as injection of an illicit drug or blood transfusion or exposure to blood or blood products)
liver cancer,malignant neoplastic disease of the liver usually occurring as a metastasis from another cancer; symptoms include loss of appetite and weakness and bloating and jaundice and upper abdominal discomfort
cancer of the liver,malignant neoplastic disease of the liver usually occurring as a metastasis from another cancer; symptoms include loss of appetite and weakness and bloating and jaundice and upper abdominal discomfort
herpes simplex,an infection caused by the herpes simplex virus; affects the skin and nervous system; produces small temporary (but sometimes painful) blisters on the skin and mucous membranes
oral herpes,caused by herpes simplex virus type 1 (HSV-1)
herpes labialis,caused by herpes simplex virus type 1 (HSV-1)
fever blister,caused by herpes simplex virus type 1 (HSV-1)
genital herpes,an infection caused by herpes simplex virus type 2 (HSV-2) that is usually transmitted by sexual contact; marked by recurrent attacks of painful eruptions on the skin and mucous membranes of the genital area
herpes genitalis,an infection caused by herpes simplex virus type 2 (HSV-2) that is usually transmitted by sexual contact; marked by recurrent attacks of painful eruptions on the skin and mucous membranes of the genital area
herpes zoster,eruptions along a nerve path often accompanied by severe neuralgia
venereal disease,a communicable infection transmitted by sexual intercourse or genital contact
venereal infection,a communicable infection transmitted by sexual intercourse or genital contact
social disease,a communicable infection transmitted by sexual intercourse or genital contact
Cupid's itch,a communicable infection transmitted by sexual intercourse or genital contact
Cupid's disease,a communicable infection transmitted by sexual intercourse or genital contact
Venus's curse,a communicable infection transmitted by sexual intercourse or genital contact
sexually transmitted disease,a communicable infection transmitted by sexual intercourse or genital contact
granuloma inguinale,a venereal disease caused by a bacterium of the genus Calymmatobacterium; characterized by a pimply rash of the skin in the genital and groin region
granuloma venereum,a venereal disease caused by a bacterium of the genus Calymmatobacterium; characterized by a pimply rash of the skin in the genital and groin region
lues venerea,a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)
primary syphilis,the first stage; characterized by a chancre at the site of infection
secondary syphilis,the second stage; characterized by eruptions of the skin and mucous membrane
tertiary syphilis,the third stage; characterized by involvement of internal organs especially the brain and spinal cord as well as the heart and liver
tabes dorsalis,syphilis of the spinal cord characterized by degeneration of sensory neurons and stabbing pains in the trunk and legs and unsteady gait and incontinence and impotence
locomotor ataxia,syphilis of the spinal cord characterized by degeneration of sensory neurons and stabbing pains in the trunk and legs and unsteady gait and incontinence and impotence
neurosyphilis,syphilis of the central nervous system
infectious mononucleosis,an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing
mononucleosis,an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing
glandular fever,an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing
kissing disease,an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing
Ebola hemorrhagic fever,a severe and often fatal disease in humans and nonhuman primates (monkeys and chimpanzees) caused by the Ebola virus; characterized by high fever and severe internal bleeding; can be spread from person to person; is largely limited to Africa
Ebola fever,a severe and often fatal disease in humans and nonhuman primates (monkeys and chimpanzees) caused by the Ebola virus; characterized by high fever and severe internal bleeding; can be spread from person to person; is largely limited to Africa
Lassa fever,an acute contagious viral disease of central western Africa; characterized by fever and inflammation and muscular pains and difficulty swallowing; can be used as a bioweapon
Hansen's disease,chronic granulomatous communicable disease occurring in tropical and subtropical regions; characterized by inflamed nodules beneath the skin and wasting of body parts; caused by the bacillus Mycobacterium leprae
tuberculoid leprosy,leprosy characterized by tumors in the skin and cutaneous nerves
lepromatous leprosy,a very serious form of leprosy characterized by lesions that spread over much of the body and affecting many systems of the body
necrotizing enterocolitis,an acute inflammatory disease occurring in the intestines of premature infants; necrosis of intestinal tissue may follow
listeriosis,an infectious disease of animals and humans (especially newborn or immunosuppressed persons) caused by the bacterium Listeria monocytogenes; in sheep and cattle the infection frequently involves the central nervous system and causes various neurological symptoms
listeria meningitis,an infectious disease of animals and humans (especially newborn or immunosuppressed persons) caused by the bacterium Listeria monocytogenes; in sheep and cattle the infection frequently involves the central nervous system and causes various neurological symptoms
lymphocytic choriomeningitis,a form of viral meningitis caused by a virus carried by the common house mouse
lymphogranuloma venereum,infectious disease caused by a species of chlamydia bacterium; transmitted by sexual contact; characterized by genital lesions and swelling of lymph nodes in the groin
lymphopathia venereum,infectious disease caused by a species of chlamydia bacterium; transmitted by sexual contact; characterized by genital lesions and swelling of lymph nodes in the groin
meningitis,infectious disease characterized by inflammation of the meninges (the tissues that surround the brain or spinal cord) usually caused by a bacterial infection; symptoms include headache and stiff neck and fever and nausea
epidemic parotitis,an acute contagious viral disease characterized by fever and by swelling of the parotid glands
cerebrospinal meningitis,meningitis caused by bacteria and often fatal
epidemic meningitis,meningitis caused by bacteria and often fatal
brain fever,meningitis caused by bacteria and often fatal
cerebrospinal fever,meningitis caused by bacteria and often fatal
paratyphoid,any of a variety of infectious intestinal diseases resembling typhoid fever
paratyphoid fever,any of a variety of infectious intestinal diseases resembling typhoid fever
bubonic plague,"the most common form of the plague in humans; characterized by chills, prostration, delirium and the formation of buboes in the armpits and groin; does not spread from person to person"
pestis bubonica,"the most common form of the plague in humans; characterized by chills, prostration, delirium and the formation of buboes in the armpits and groin; does not spread from person to person"
glandular plague,"the most common form of the plague in humans; characterized by chills, prostration, delirium and the formation of buboes in the armpits and groin; does not spread from person to person"
ambulant plague,a mild form of bubonic plague
ambulatory plague,a mild form of bubonic plague
pestis ambulans,a mild form of bubonic plague
Black Death,the epidemic form of bubonic plague experienced during the Middle Ages when it killed nearly half the people of western Europe
Black Plague,the epidemic form of bubonic plague experienced during the Middle Ages when it killed nearly half the people of western Europe
pneumonic plague,"a rapidly progressive and frequently fatal form of the plague that can spread through the air from person to person; characterized by lung involvement with chill, bloody expectoration and high fever"
pulmonic plague,"a rapidly progressive and frequently fatal form of the plague that can spread through the air from person to person; characterized by lung involvement with chill, bloody expectoration and high fever"
plague pneumonia,"a rapidly progressive and frequently fatal form of the plague that can spread through the air from person to person; characterized by lung involvement with chill, bloody expectoration and high fever"
septicemic plague,an especially dangerous and generally fatal form of the plague in which infecting organisms invade the bloodstream; does not spread from person to person
poliomyelitis,an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
infantile paralysis,an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
acute anterior poliomyelitis,an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
Pott's disease,TB of the spine with destruction of vertebrae resulting in curvature of the spine
ratbite fever,either of two infectious diseases transmitted to humans by the bite of a rat or mouse; characterized by fever and headache and nausea and skin eruptions
rickettsial disease,infectious disease caused by ticks or mites or body lice infected with rickettsial bacteria
rickettsiosis,infectious disease caused by ticks or mites or body lice infected with rickettsial bacteria
typhus fever,rickettsial disease transmitted by body lice and characterized by skin rash and high fever
murine typhus,acute infection caused by rickettsia and transmitted by the bite of an infected flea; characterized by fever and chills and muscle aches and a rash
urban typhus,acute infection caused by rickettsia and transmitted by the bite of an infected flea; characterized by fever and chills and muscle aches and a rash
endemic typhus,acute infection caused by rickettsia and transmitted by the bite of an infected flea; characterized by fever and chills and muscle aches and a rash
spotted fever,any of several severe febrile diseases characterized by skin rashes or spots on the skin
Rocky Mountain spotted fever,caused by rickettsial bacteria and transmitted by wood ticks
mountain fever,caused by rickettsial bacteria and transmitted by wood ticks
rickettsialpox,mild infectious rickettsial disease caused by a bacterium of the genus Rickettsia transmitted to humans by the bite a mite that lives on rodents; characterized by chills and fever and headache and skin lesions that resemble chickenpox
trench fever,marked by pain in muscles and joints and transmitted by lice
tsutsugamushi disease,transmitted by larval mites and widespread in Asia
scrub typhus,transmitted by larval mites and widespread in Asia
relapsing fever,marked by recurring high fever and transmitted by the bite of infected lice or ticks; characterized by episodes of high fever and chills and headache and muscle pain and nausea that recur every week or ten days for several months
recurrent fever,marked by recurring high fever and transmitted by the bite of infected lice or ticks; characterized by episodes of high fever and chills and headache and muscle pain and nausea that recur every week or ten days for several months
rheumatic fever,a severe disease chiefly of children and characterized by painful inflammation of the joints and frequently damage to the heart valves
rheumatic heart disease,heart disease caused by recurrent episodes of rheumatic fever; characterized by changes in the myocardium or scarring of the heart valves that reduce the power of the heart to pump blood
sweating sickness,epidemic in the 15th and 16th centuries and characterized by profuse sweating and high mortality
miliary fever,epidemic in the 15th and 16th centuries and characterized by profuse sweating and high mortality
tuberculosis,infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)
miliary tuberculosis,acute tuberculosis characterized by the appearance of tiny tubercles on one or more organs of the body (presumably resulting from tubercle bacilli being spread in the bloodstream)
pulmonary tuberculosis,involving the lungs with progressive wasting of the body
consumption,involving the lungs with progressive wasting of the body
wasting disease,involving the lungs with progressive wasting of the body
white plague,involving the lungs with progressive wasting of the body
king's evil,a form of tuberculosis characterized by swellings of the lymphatic glands
typhoid fever,serious infection marked by intestinal inflammation and ulceration; caused by Salmonella typhosa ingested with food or water
enteric fever,serious infection marked by intestinal inflammation and ulceration; caused by Salmonella typhosa ingested with food or water
whooping cough,a disease of the respiratory mucous membrane
yellow jack,caused by a flavivirus transmitted by a mosquito
yellow fever,caused by a flavivirus transmitted by a mosquito
black vomit,caused by a flavivirus transmitted by a mosquito
respiratory disease,a disease affecting the respiratory system
respiratory illness,a disease affecting the respiratory system
respiratory disorder,a disease affecting the respiratory system
common cold,a mild viral infection involving the nose and respiratory passages (but not the lungs)
asthma attack,respiratory disorder characterized by wheezing; usually of allergic origin
bronchial asthma,respiratory disorder characterized by wheezing; usually of allergic origin
status asthmaticus,a prolonged and severe asthma attack that does not respond to standard treatment
bronchitis,inflammation of the membranes lining the bronchial tubes
bronchiolitis,inflammation of the membranes lining the bronchioles
chronic bronchitis,a form of bronchitis characterized by excess production of sputum leading to a chronic cough and obstruction of air flow
chronic obstructive pulmonary disease,a nonreversible lung disease that is a combination of emphysema and chronic bronchitis; usually patients have been heavy cigarette smokers
coccidioidomycosis,an infection of the lungs and skin characterized by excessive sputum and nodules
coccidiomycosis,an infection of the lungs and skin characterized by excessive sputum and nodules
valley fever,an infection of the lungs and skin characterized by excessive sputum and nodules
desert rheumatism,an infection of the lungs and skin characterized by excessive sputum and nodules
cryptococcosis,a fungal infection characterized by nodular lesions — first in the lungs and spreading to the nervous system
pulmonary emphysema,an abnormal condition of the lungs marked by decreased respiratory function; associated with smoking or chronic bronchitis or old age
atypical pneumonia,an acute respiratory disease marked by high fever and coughing; caused by mycoplasma; primarily affecting children and young adults
primary atypical pneumonia,an acute respiratory disease marked by high fever and coughing; caused by mycoplasma; primarily affecting children and young adults
mycoplasmal pneumonia,an acute respiratory disease marked by high fever and coughing; caused by mycoplasma; primarily affecting children and young adults
bronchopneumonia,pneumonia characterized by acute inflammation of the walls of the bronchioles
bronchial pneumonia,pneumonia characterized by acute inflammation of the walls of the bronchioles
double pneumonia,lobar pneumonia involving both lungs
interstitial pneumonia,chronic lung disease affecting the interstitial tissue of the lungs
lobar pneumonia,pneumonia affecting one or more lobes of the lung; commonly due to streptococcal infection
Legionnaires' disease,acute (sometimes fatal) lobar pneumonia caused by bacteria of a kind first recognized after an outbreak of the disease at an American Legion convention in Philadelphia in 1976; characterized by fever and muscle and chest pain and headache and chills and a dry cough
pneumococcal pneumonia,pneumonia caused by bacteria of the genus pneumococcus
pneumocytosis,pneumonia occurring in infants or in persons with impaired immune systems (as AIDS victims)
pneumocystis pneumonia,pneumonia occurring in infants or in persons with impaired immune systems (as AIDS victims)
pneumocystis carinii pneumonia,pneumonia occurring in infants or in persons with impaired immune systems (as AIDS victims)
interstitial plasma cell pneumonia,pneumonia occurring in infants or in persons with impaired immune systems (as AIDS victims)
pneumothorax,abnormal presence of air in the pleural cavity resulting in the collapse of the lung; may be spontaneous (due to injury to the chest) or induced (as a treatment for tuberculosis)
psittacosis,an atypical pneumonia caused by a rickettsia microorganism and transmitted to humans from infected birds
parrot fever,an atypical pneumonia caused by a rickettsia microorganism and transmitted to humans from infected birds
pneumoconiosis,chronic respiratory disease caused by inhaling metallic or mineral particles
pneumonoconiosis,chronic respiratory disease caused by inhaling metallic or mineral particles
anthracosis,lung disease caused by inhaling coal dust
black lung disease,lung disease caused by inhaling coal dust
coal miner's lung,lung disease caused by inhaling coal dust
respiratory distress syndrome,an acute lung disease of the newborn (especially the premature newborn); lungs cannot expand because of a wetting agent is lacking; characterized by rapid shallow breathing and cyanosis and the formation of a glassy hyaline membrane over the alveoli
respiratory distress syndrome of the newborn,an acute lung disease of the newborn (especially the premature newborn); lungs cannot expand because of a wetting agent is lacking; characterized by rapid shallow breathing and cyanosis and the formation of a glassy hyaline membrane over the alveoli
hyaline membrane disease,an acute lung disease of the newborn (especially the premature newborn); lungs cannot expand because of a wetting agent is lacking; characterized by rapid shallow breathing and cyanosis and the formation of a glassy hyaline membrane over the alveoli
genetic disease,a disease or disorder that is inherited genetically
genetic disorder,a disease or disorder that is inherited genetically
genetic abnormality,a disease or disorder that is inherited genetically
genetic defect,a disease or disorder that is inherited genetically
congenital disease,a disease or disorder that is inherited genetically
inherited disease,a disease or disorder that is inherited genetically
inherited disorder,a disease or disorder that is inherited genetically
hereditary disease,a disease or disorder that is inherited genetically
hereditary condition,a disease or disorder that is inherited genetically
abetalipoproteinemia,a rare inherited disorder of fat metabolism; characterized by severe deficiency of beta-lipoproteins and abnormal red blood cells (acanthocytes) and abnormally low cholesterol levels
macrencephaly,an abnormally large braincase
anencephaly,a defect in brain development resulting in small or missing brain hemispheres
anencephalia,a defect in brain development resulting in small or missing brain hemispheres
color blindness,genetic inability to distinguish differences in hue
colour blindness,genetic inability to distinguish differences in hue
color vision deficiency,genetic inability to distinguish differences in hue
colour vision deficiency,genetic inability to distinguish differences in hue
double vision,visual impairment in which an object is seen as two objects
dichromatism,a deficiency of color vision in which the person can match any given hue by mixing only two other wavelengths of light (as opposed to the three wavelengths needed by people with normal color vision)
dichromatopsia,a deficiency of color vision in which the person can match any given hue by mixing only two other wavelengths of light (as opposed to the three wavelengths needed by people with normal color vision)
red-green dichromacy,confusion of red and green
red-green color blindness,confusion of red and green
red-green colour blindness,confusion of red and green
deuteranopia,dichromacy characterized by a lowered sensitivity to green light resulting in an inability to distinguish green and purplish-red
green-blindness,dichromacy characterized by a lowered sensitivity to green light resulting in an inability to distinguish green and purplish-red
red-blindness,dichromacy characterized by lowered sensitivity to long wavelengths of light resulting in an inability to distinguish red and purplish blue
yellow-blue dichromacy,confusion of yellow and blue
yellow-blue color blindness,confusion of yellow and blue
tetartanopia,a form of dichromacy characterized by lowered sensitivity to yellow light; so rare that its existence has been questioned
yellow-blindness,a form of dichromacy characterized by lowered sensitivity to yellow light; so rare that its existence has been questioned
blue-blindness,rare form of dichromacy characterized by a lowered sensitivity to blue light resulting in an inability to distinguish blue and yellow
monochromacy,complete color blindness; colors can be differentiated only on the basis of brightness
monochromatism,complete color blindness; colors can be differentiated only on the basis of brightness
monochromatic vision,complete color blindness; colors can be differentiated only on the basis of brightness
monochromia,complete color blindness; colors can be differentiated only on the basis of brightness
monochromasy,complete color blindness; colors can be differentiated only on the basis of brightness
cystic fibrosis,the most common hereditary disease; the child's lungs and intestines and pancreas become clogged with thick mucus; caused by defect in a single gene; no cure is known
fibrocystic disease of the pancreas,the most common hereditary disease; the child's lungs and intestines and pancreas become clogged with thick mucus; caused by defect in a single gene; no cure is known
pancreatic fibrosis,the most common hereditary disease; the child's lungs and intestines and pancreas become clogged with thick mucus; caused by defect in a single gene; no cure is known
mucoviscidosis,the most common hereditary disease; the child's lungs and intestines and pancreas become clogged with thick mucus; caused by defect in a single gene; no cure is known
inborn error of metabolism,any of a number of diseases in which an inherited defect (usually a missing or inadequate enzyme) results in an abnormality of metabolism
galactosemia,a genetic disease (autosomal recessive) in which an enzyme needed to metabolize galactose is deficient or absent; typically develops shortly after birth
Gaucher's disease,a rare chronic disorder of lipid metabolism of genetic origin
Hirschsprung's disease,congenital condition in which the colon does not have the normal network of nerves; there is little urge to defecate so the feces accumulate and cause megacolon
congenital megacolon,congenital condition in which the colon does not have the normal network of nerves; there is little urge to defecate so the feces accumulate and cause megacolon
Horner's syndrome,a pattern of symptoms occurring as a result of damage to nerves in the cervical region of the spine (drooping eyelids and constricted pupils and absence of facial sweating)
Huntington's chorea,hereditary disease; develops in adulthood and ends in dementia
Huntington's disease,hereditary disease; develops in adulthood and ends in dementia
Hurler's syndrome,hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism; characterized by severe abnormalities in development of skeletal cartilage and bone and mental retardation
Hurler's disease,hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism; characterized by severe abnormalities in development of skeletal cartilage and bone and mental retardation
dysostosis multiplex,hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism; characterized by severe abnormalities in development of skeletal cartilage and bone and mental retardation
lipochondrodystrophy,hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism; characterized by severe abnormalities in development of skeletal cartilage and bone and mental retardation
mucopolysaccharidosis,any of a group of genetic disorders involving a defect in the metabolism of mucopolysaccharides resulting in greater than normal levels of mucopolysaccharides in tissues
malignant hyperthermia,"hereditary condition in which certain anesthetics (e.g., halothane) cause high body temperatures and muscle rigidity"
Marfan's syndrome,an autosomal dominant disease characterized by elongated bones (especially of limbs and digits) and abnormalities of the eyes and circulatory system
neurofibromatosis,autosomal dominant disease characterized by numerous neurofibromas and by spots on the skin and often by developmental abnormalities
von Recklinghausen's disease,autosomal dominant disease characterized by numerous neurofibromas and by spots on the skin and often by developmental abnormalities
osteogenesis imperfecta,autosomal dominant disorder of connective tissue characterized by brittle bones that fracture easily
hyperbetalipoproteinemia,a genetic disorder characterized by high levels of beta-lipoproteins and cholesterol; can lead to atherosclerosis at an early age
hypobetalipoproteinemia,a hereditary disorder characterized by low levels of beta-lipoproteins and lipids and cholesterol
clinocephaly,a congenital defect in which the top of the head is depressed (concave instead of convex)
clinocephalism,a congenital defect in which the top of the head is depressed (concave instead of convex)
clinodactyly,a congenital defect in which one or more toes or fingers are abnormally positioned
macroglossia,a congenital disorder characterized by an abnormally large tongue; often seen in cases of Down's syndrome
mongolianism,a congenital disorder caused by having an extra 21st chromosome; results in a flat face and short stature and mental retardation
Down's syndrome,a congenital disorder caused by having an extra 21st chromosome; results in a flat face and short stature and mental retardation
Down syndrome,a congenital disorder caused by having an extra 21st chromosome; results in a flat face and short stature and mental retardation
maple syrup urine disease,an inherited disorder of metabolism in which the urine has a odor characteristic of maple syrup; if untreated it can lead to mental retardation and death in early childhood
branched chain ketoaciduria,an inherited disorder of metabolism in which the urine has a odor characteristic of maple syrup; if untreated it can lead to mental retardation and death in early childhood
McArdle's disease,an inherited disease in which abnormal amounts of glycogen accumulate in skeletal muscle; results in weakness and cramping
muscular dystrophy,any of several hereditary diseases of the muscular system characterized by weakness and wasting of skeletal muscles
oligodactyly,congenital condition in which some fingers or toes are missing
oligodontia,congenital condition in which some of the teeth are missing
otosclerosis,hereditary disorder in which ossification of the labyrinth of the inner ear causes tinnitus and eventual deafness
Becker muscular dystrophy,a form of muscular dystrophy that sets in in adolescence or adulthood and progresses slowly but will affect all voluntary muscles; characterized by generalized weakness and muscle wasting that affects limb and trunk muscles first; similar to Duchenne's muscular dystrophy but less severe; inheritance is X-linked recessive (carried by females but affecting only males)
distal muscular dystrophy,a form of muscular dystrophy that sets in between 40 and 60 years of age and is characterized by weakness and wasting of the muscles of the hands and forearms and lower legs; inheritance is autosomal dominant
Duchenne's muscular dystrophy,the most common form of muscular dystrophy; inheritance is X-linked recessive (carried by females but affecting only males)
pseudohypertrophic dystrophy,the most common form of muscular dystrophy; inheritance is X-linked recessive (carried by females but affecting only males)
autosomal dominant disease,a disease caused by a dominant mutant gene on an autosome
autosomal dominant disorder,a disease caused by a dominant mutant gene on an autosome
autosomal recessive disease,a disease caused by the presence of two recessive mutant genes on an autosome
autosomal recessive defect,a disease caused by the presence of two recessive mutant genes on an autosome
limb-girdle muscular dystrophy,an autosomal recessive form of muscular dystrophy that appears anywhere from late childhood to middle age; characterized by progressive muscular weakness beginning either in the shoulder or pelvic girdle; usually progresses slowly with cardiopulmonary complications in the later stages
myotonic muscular dystrophy,a severe form of muscular dystrophy marked by generalized weakness and muscular wasting that affects the face and feet and hands and neck; difficult speech and difficulty with the hands that spreads to the arms and shoulders and legs and hips; the onset can be any time from birth to middle age and the progression is slow; inheritance is autosomal dominant
myotonic dystrophy,a severe form of muscular dystrophy marked by generalized weakness and muscular wasting that affects the face and feet and hands and neck; difficult speech and difficulty with the hands that spreads to the arms and shoulders and legs and hips; the onset can be any time from birth to middle age and the progression is slow; inheritance is autosomal dominant
myotonia atrophica,a severe form of muscular dystrophy marked by generalized weakness and muscular wasting that affects the face and feet and hands and neck; difficult speech and difficulty with the hands that spreads to the arms and shoulders and legs and hips; the onset can be any time from birth to middle age and the progression is slow; inheritance is autosomal dominant
Steinert's disease,a severe form of muscular dystrophy marked by generalized weakness and muscular wasting that affects the face and feet and hands and neck; difficult speech and difficulty with the hands that spreads to the arms and shoulders and legs and hips; the onset can be any time from birth to middle age and the progression is slow; inheritance is autosomal dominant
oculopharyngeal muscular dystrophy,a form of muscular dystrophy that usually begins between early adulthood and middle age and first affects muscles of the eyelid and throat; progresses slowly with swallowing problems common as the disease progresses; inheritance is autosomal dominant
Niemann-Pick disease,a disorder of lipid metabolism that is inherited as an autosomal recessive trait
acrocephaly,a congenital abnormality of the skull; the top of the skull assumes a cone shape
aplastic anemia,anemia characterized by pancytopenia resulting from failure of the bone marrow; can be caused by neoplasm or by toxic exposure
aplastic anaemia,anemia characterized by pancytopenia resulting from failure of the bone marrow; can be caused by neoplasm or by toxic exposure
erythroblastosis fetalis,severe anemia in newborn babies; the result of Rh incompatibility between maternal and fetal blood; typically occurs when the child of an Rh-negative mother inherits Rh-positive blood from the father; can be diagnosed before birth by amniocentesis
Fanconi's anemia,a rare congenital anemia characterized by pancytopenia and hypoplasia of the bone marrow
Fanconi's anaemia,a rare congenital anemia characterized by pancytopenia and hypoplasia of the bone marrow
congenital pancytopenia,a rare congenital anemia characterized by pancytopenia and hypoplasia of the bone marrow
hemolytic anemia,anemia resulting from destruction of erythrocytes
haemolytic anaemia,anemia resulting from destruction of erythrocytes
hyperchromic anemia,anemia characterized by an increase in the concentration of corpuscular hemoglobin
hyperchromic anaemia,anemia characterized by an increase in the concentration of corpuscular hemoglobin
hypochromic anemia,anemia characterized by a decrease in the concentration of corpuscular hemoglobin
hypochromic anaemia,anemia characterized by a decrease in the concentration of corpuscular hemoglobin
hypoplastic anemia,anemia resulting from inadequately functioning bone marrow; can develop into aplastic anemia
hypoplastic anaemia,anemia resulting from inadequately functioning bone marrow; can develop into aplastic anemia
iron deficiency anemia,a form of anemia due to lack of iron in the diet or to iron loss as a result of chronic bleeding
iron deficiency anaemia,a form of anemia due to lack of iron in the diet or to iron loss as a result of chronic bleeding
ischemic stroke,the most common kind of stroke; caused by an interruption in the flow of blood to the brain (as from a clot blocking a blood vessel)
ischaemic stroke,the most common kind of stroke; caused by an interruption in the flow of blood to the brain (as from a clot blocking a blood vessel)
transient ischemic attack,brief episode in which the brain gets insufficient blood supply; symptoms depend on the site of the blockage
greensickness,iron deficiency anemia in young women; characterized by weakness and menstrual disturbances and a green color to the skin
macrocytic anemia,anemia in which the average size of erythrocytes is larger than normal
macrocytic anaemia,anemia in which the average size of erythrocytes is larger than normal
microcytic anemia,anemia in which the average size of erythrocytes is smaller than normal
microcytic anaemia,anemia in which the average size of erythrocytes is smaller than normal
parasitemia,a condition in which parasites are present in the blood
parasitaemia,a condition in which parasites are present in the blood
pernicious anemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12)
pernicious anaemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12)
malignant anemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12)
malignant anaemia,a chronic progressive anemia of older adults; thought to result from a lack of intrinsic factor (a substance secreted by the stomach that is responsible for the absorption of vitamin B12)
megaloblastic anemia,anemia characterized by many large immature and dysfunctional red blood cells (megaloblasts) in the bone marrow; associated with pernicious anemia
megaloblastic anaemia,anemia characterized by many large immature and dysfunctional red blood cells (megaloblasts) in the bone marrow; associated with pernicious anemia
metaplastic anemia,pernicious anemia in which the various formed elements in the blood are changed
metaplastic anaemia,pernicious anemia in which the various formed elements in the blood are changed
refractory anemia,any of various anemic conditions that are not successfully treated by any means other than blood transfusions (and that are not associated with another primary disease)
refractory anaemia,any of various anemic conditions that are not successfully treated by any means other than blood transfusions (and that are not associated with another primary disease)
sideroblastic anemia,refractory anemia characterized by sideroblasts in the bone marrow
sideroblastic anaemia,refractory anemia characterized by sideroblasts in the bone marrow
siderochrestic anemia,refractory anemia characterized by sideroblasts in the bone marrow
siderochrestic anaemia,refractory anemia characterized by sideroblasts in the bone marrow
sideropenia,a deficiency of iron; results from inadequate iron in the diet or from hemorrhage
sickle-cell anemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
sickle-cell anaemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
sickle-cell disease,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
crescent-cell anemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
crescent-cell anaemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
drepanocytic anemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
drepanocytic anaemia,a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape
Spielmeyer-Vogt disease,a congenital progressive disorder of lipid metabolism having an onset at age 5 and characterized by blindness and dementia and early death
juvenile amaurotic idiocy,a congenital progressive disorder of lipid metabolism having an onset at age 5 and characterized by blindness and dementia and early death
Tay-Sachs disease,a hereditary disorder of lipid metabolism occurring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood
Sachs disease,a hereditary disorder of lipid metabolism occurring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood
infantile amaurotic idiocy,a hereditary disorder of lipid metabolism occurring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood
thrombasthenia,a rare autosomal recessive disease in which the platelets do not produce clots in the normal way and hemorrhage results
tyrosinemia,autosomal recessive defect in tyrosine metabolism resulting in liver and kidney disturbances and mental retardation
Werdnig-Hoffman disease,autosomal recessive disease in which the degeneration of spinal nerve cells and brain nerve cells leads to atrophy of skeletal muscles and flaccid paralysis; death usually occurs in early childhood
haemophilia,congenital tendency to uncontrolled bleeding; usually affects males and is transmitted from mother to son
