word,definition
bald-headed,lacking hair on all or most of the scalp
smooth-faced,lacking hair on the face
glabrescent,lacking hair or a similar growth or tending to become hairless
naked-muzzled,having a muzzle that is hairless
naked-tailed,having a tail that is hairless
canescent,covered with fine whitish hairs or down
coarse-haired,having coarse hair or fur
coarse-furred,having coarse hair or fur
curly-haired,covered with curly hair
curly-coated,covered with curly hair
dark-haired,covered with dark hair
dark-coated,covered with dark hair
pubescent,covered with fine soft hairs or down
glossy-haired,having glossy hair
glossy-coated,having glossy hair
glossy-furred,having glossy hair
long-haired,with long hair
rough-haired,having hair that feels rough
shock-headed,having a shock (or untidy mass) of hair
short-haired,with short hair
silky-haired,having hair that resembles silk
silver-haired,having hair the color of silver
smooth-haired,having hair that feels smooth
snake-haired,(of monsters) having snakes for hair
soft-haired,having soft hair
stiff-haired,having stiff hair
thick-haired,having thick hair
velvety-furred,having hair that feels like velvet
velvety-haired,having hair that feels like velvet
wire-haired,(especially of dogs) having stiff wiry hair
wiry-coated,(especially of dogs) having stiff wiry hair
wooly-haired,covered with dense often matted or curly hairs
woolly-haired,covered with dense often matted or curly hairs
load-bearing,capable of bearing a structural load
fine-looking,pleasing in appearance especially by reason of conformity to ideals of form and proportion
good-looking,pleasing in appearance especially by reason of conformity to ideals of form and proportion
better-looking,pleasing in appearance especially by reason of conformity to ideals of form and proportion
well-favored,pleasing in appearance especially by reason of conformity to ideals of form and proportion
well-favoured,pleasing in appearance especially by reason of conformity to ideals of form and proportion
resplendent,having great beauty and splendor
splendiferous,having great beauty and splendor
picturesque,suggesting or suitable for a picture; pretty as a picture
pretty-pretty,ostentatiously or inappropriately pretty
pulchritudinous,used of persons only; having great physical beauty
evil-looking,having an evil appearance
ill-favored,usually used of a face
ill-favoured,usually used of a face
unpicturesque,without beauty or charm
big-bellied,having a prominent belly
great bellied,having a prominent belly
flat-bellied,lacking a prominent belly
beneficent,doing or producing good
maleficent,harmful or evil in intent or effect
unmalicious,not malicious or spiteful
prizewinning,holding first place in a contest
top-quality,surpassing in quality
world-class,ranking above all others
go-to-meeting,used of clothing
Sunday-go-to-meeting,used of clothing
record-breaking,surpassing any previously established record
second-best,next to the best
unsurpassed,not capable of being improved on
unsurpassable,not to be exceeded
ameliorating,tending to ameliorate
ameliorative,tending to ameliorate
amelioratory,tending to ameliorate
meliorative,tending to ameliorate
bidirectional,reactive or functioning or allowing movement in two usually opposite directions
unidirectional,operating or moving or allowing movement in one direction only
Janus-faced,having two faces — one looking to the future and one to the past
round-faced,having a round face
sweet-faced,having a pleasing face or one showing a sweet disposition
multilateral,having many parts or sides
multipartite,involving more than two parties
quadrilateral,having four sides
seven-sided,having seven sides
eight-sided,having eight sides
eleven-sided,having eleven sides
twelve-sided,having twelve sides
quadripartite,involving four parties
tetramerous,having or consisting of four similar parts; tetramerous flowers
three-cornered,involving a group or set of three
three-lobed,having three lobes
palmately-lobed,having lobes radiating from a central point
three-sided,having three sides
three-party,involving three parties or elements
stereophonic,designating the reproduction of sound using two or more independent audio channels
two-channel,designating the reproduction of sound using two or more independent audio channels
single-channel,designating sound transmission or recording or reproduction over a single channel
binucleated,having two nuclei
mononuclear,having only one nucleus
mononucleate,having only one nucleus
trinucleate,having three nuclei
trinucleated,having three nuclei
quadrupedal,having four feet
four-footed,having four feet
African-American,pertaining to or characteristic of Americans of African ancestry
Afro-American,pertaining to or characteristic of Americans of African ancestry
light-haired,being or having light colored skin and hair and usually blue or grey eyes
platinum-blonde,of hair color; whitish
dark-haired,having hair of a dark color
black-haired,having hair of a dark color
brown-haired,having hair of a dark color
dark-skinned,naturally having skin of a dark color
unblemished,free from physical or moral spots or stains
unmutilated,free from physical or moral spots or stains
untarnished,(of reputation) free from blemishes
blood-filled,containing blood
bloodstained,covered with blood
bloodsucking,drawing blood from the body of another
bloodthirsty,marked by eagerness to resort to violence and bloodshed
bloody-minded,marked by eagerness to resort to violence and bloodshed
sanguineous,accompanied by bloodshed
slaughterous,accompanied by bloodshed
internecine,characterized by bloodshed and carnage for both sides
temerarious,presumptuously daring
overreaching,revealing excessive self-confidence; reaching for the heights
overvaliant,having or showing undue valor or boldness
intimidated,made timid or fearful as by threats
intermeshed,caught as if in a mesh
thrown and twisted,twisted together; as of filaments spun into a thread
disentangled,straightened out
paperbacked,(of books) having a flexible binding
deckle-edged,having a rough edge; used of handmade paper or paper resembling handmade
featheredged,having a rough edge; used of handmade paper or paper resembling handmade
sawtoothed-edged,(of leaves) having an edge resembling a sawtooth
spiny-edged,having a spiny border
white-edged,having a white border
lower-class,occupying the lowest socioeconomic position in a society
proletarian,belonging to or characteristic of the proletariat
propertyless,of those who work for wages especially manual or industrial laborers
wage-earning,of those who work for wages especially manual or industrial laborers
working-class,of those who work for wages especially manual or industrial laborers
blue-collar,of those who work for wages especially manual or industrial laborers
upper-lower-class,occupying the upper part of the lower class
middle-class,occupying a socioeconomic position intermediate between those of the lower classes and the wealthy
conservative,conforming to the standards and conventions of the middle class
materialistic,conforming to the standards and conventions of the middle class
lower-middle-class,occupying the lower part of the middle socioeconomic range in a society
upper-middle-class,occupying the upper part of the middle socioeconomic range in a society
upper-class,occupying the highest socioeconomic position in a society
property-owning,owning land or securities as a principal source of revenue
brachycephalic,having a short broad head with a cephalic index of over 80
brachycranial,having a short broad head with a cephalic index of over 80
brachycranic,having a short broad head with a cephalic index of over 80
broad-headed,having a brachycephalic head
roundheaded,having a brachycephalic head
short-headed,having a brachycephalic head
bullet-headed,having a small round head
dolichocephalic,having a relatively long head with a cephalic index of under 75
dolichocranial,having a relatively long head with a cephalic index of under 75
dolichocranic,having a relatively long head with a cephalic index of under 75
